,fold-change person 1,fold-change person 2,fold-change person 3,fold-change person 4
AKR1B1,-0.094251294127533,0.0024526095521824553,-0.08350103490781001,0.00902080699605969
ALDH4A1,-0.3867525124821601,-0.2633612759767025,-0.13770970371217334,0.17555739754438612
CBR1,-0.36522104280779616,-0.27417320973845577,0.02377936926394757,-0.2527965844893953
COMT,-0.1824591704432936,-0.19698768883310427,0.16805866509808934,-0.16504121533566546
DBH,inf,0,0,0
DDC,-0.6214805281708865,inf,0,inf
DHFR,-0.0954117165032987,-0.10900354855599503,0.062274752451378576,0.05623142014462639
DYRK1B,-0.47562966170743154,-0.4624123910600316,0.14690018018537845,-0.07753561203899707
FAH,0.09728795831097994,-0.13811721672106753,0.26793486208909645,0.008501320882877653
FPGS,-0.23499902987217428,-0.22670382202999131,-0.00450837934989969,0.10627210264422177
GART,-0.30173363222567684,-0.20751682109831046,-0.020547619980757714,0.027305268307095506
GGH,0.13011647525871242,0.09396915767749123,0.1160911638121129,0.29761608772144005
GLUD1,-0.3019956092118527,-0.0024716672181355186,0.12797255703189425,-0.07879023710616286
GLUD2,inf,0.032352300689546386,0.27671842067233543,0.4282001975315843
GOT1,0.015461500981896808,-0.280591009565466,-0.056730813853409987,-0.17587112613727635
GPT,-2.2064430288920422,0.4473897999683901,0.4991108420087832,-0.5717998024684156
GPT2,0.0970606146220452,-0.11809257713446042,0.09199880694404315,0.3454891466220288
GSTZ1,0.08451367892747698,0.10137216283646784,0.07248536845472756,0.0695327357504695
HGD,0.03222247344055375,0.31695485988808864,0.7378523345406334,0.18964476778335482
HNF1A,inf,0,0,0
HPD,,,,
MAOA,0.058886834929413726,0.09484986847771358,0.22040427799266057,0.20463856060241914
MAOB,0.3335720657751391,0.20372071900152772,0.8127713209125454,-0.12113839345885045
MDH1,-0.3105799662670751,-0.13732581189430593,-0.06069324297161483,-0.3045531453477072
MTHFD1,-0.2575818778838431,-0.19951689958202265,-0.0909748709176014,-0.009557378247343028
MTHFD1L,0.07575095522520627,-0.18137705368339435,0.1323285113371609,0.1441687104027503
PAH,,,,
PCBD1,-0.17787387669527147,-0.36025994073556294,-0.027093123065703193,-0.22978794949114253
PCBD2,-0.26042064995086733,-0.44489638273135634,0.09829624255348299,0.14651059251136425
PTS,-0.24971573735774133,-0.12735671810641355,-0.18190834715419094,-0.20427122876351614
QDPR,-0.0423081156532433,-0.1256986004644741,0.030496383289377954,0.07324330225675137
SHMT1,-0.8718730171297496,-0.6213229501156239,-0.3248953205989846,-0.4070856572738118
SHMT2,-0.14012719558706915,-0.4210178757498112,0.22871717535496455,0.33653421000977163
SORD,-0.8906671609862753,-0.5999159148099665,0.09285422827214945,0.3898283866590653
SPR,-0.36211710406558933,-0.4802959952157197,0.13086755420888066,0.042826631995054036
TAT,-0.7089433694212255,0.4473897999683904,-0.7232815793276646,-1.223876499048109
TH,0.7935569711079576,0.3098862762184552,inf,-0.3087653966346219
TPH1,-1.151995244869666,1.3098862762184553,-0.5857780555777296,inf
TPH2,inf,0,0,0
TYMS,-0.03407898199831262,-1.6635037915438333,-0.19721276766007698,0.020542228618338064
UAP1L1,-0.0983832830345892,-0.4046341714229422,-0.06723598054502584,-0.36435772259793914
ADSS,-0.11889019637193031,-0.299334292499588,0.019175106775170002,-0.04015804310462635
ADSSL1,0.4153698771640856,-0.08570346083216568,0.01571455006591273,0.15081049872072025
ALPI,,,,
ALPL,-0.41666073628238814,0.4689766621765362,0.2939964121041708,-0.06365289879809043
ALPP,-2.7089433694212257,-0.9606949386686868,0,inf
ALPPL2,inf,inf,0,0
AMPD1,inf,0,0,0
ATIC,0.10473706168613142,-0.1267774977532716,0.24904873332074193,0.11414758844072463
ENPP1,1.156127050492666,-0.33021777869516156,-1.1383190786065085,inf
ENTPD5,0.12938720254024472,0.10060982909310778,0.15562660375497367,-0.053898611920902915
ENTPD6,-0.16097251237786706,0.11871697544768046,0.1363854420618444,0.29632122297552727
GCH1,0.4854346757456257,0.01279003431102864,0.9442840592609459,0.30945392001483496
GCHFR,-0.4117366421839419,-0.8973096025776303,0.18393281721160135,0.06960870266486549
GMPR,0.4862907899281347,0.5779739097785349,1.7141237329796337,1.3641935850843632
GMPR2,-0.1744529146476055,-0.38379113581546676,-0.0004006471674747168,-0.11733682329899457
GMPS,0.20413087995937024,-0.3581204791568049,0.007665689988596134,-0.25176431850301667
GPHN,-0.20093024021671846,-0.1095902882268854,0.22413145857811587,-0.47925939632563846
GUK1,0.06906474040726787,-0.20703752041586573,0.12015687779163453,0.14573358404922926
IBSP,-1.0365180274497303,inf,inf,-1.156762303189572
IMPDH1,-0.09897833152349071,-0.21063616294248905,0.05409047651422521,0.28130574455712504
IMPDH2,-0.3076539945731289,-0.42763105294366094,-0.13795508338800386,-0.14904635563422566
ITPA,-0.027411716524833426,-0.30738229120818494,-0.0875102467941369,-0.048500839508538486
MOCS1,0.08017819725936728,-0.1626636817155963,-0.9338485652673227,0.029650821041309172
MOCS2,-0.07007058716075662,0.03434635082163393,0.0268037743496626,-0.11348518668799949
NME7,-0.32571293299108367,0.15952354115466094,-0.14087931892507233,-0.11336970767619131
NUDT16,-0.14614251862422806,-0.2533199088239791,-0.09597278789691345,-0.24531273969751674
SUOX,-0.04756585434954054,-0.004031849804642671,-0.06510923165273151,-0.12715859014467432
THY1,0.240678830414159,0.04880218562601119,-1.2723670437202241,-0.08637297529817388
TPMT,0.006019086609245807,-0.2018172884232548,0.24366013209304008,0.21696822193235818
TYR,,,,
PRKG2,0.1561270504926659,0.27746479852607786,0.12376649783373676,0.9334355057820063
CYGB,-0.24863959254624973,-0.3965237639253213,-0.4460532919111166,-0.18992916712477123
MTX1,inf,0,inf,inf
CR,,,,
DDAH1,-0.24068039835180113,-0.20357025952700608,-0.20016329736489744,0.021796446586544657
DDAH2,0.06765654090470492,-0.11865335184164327,0.004074020664719464,-0.11219675075612756
ASRGL1,-0.21590335814110834,-0.5199887784624118,-0.056705313052856185,0.04872476538573329
DHNTP,,,,
DNAJC12,-0.3636827707032394,0.3277195693057735,0.40998495153579984,-0.1918350701031982
APBA2,0.5032745028370604,-0.003894265520796417,-4.045209674215027,-0.4825324643713284
FOXP2,-0.2653367179456109,-0.2155752127540391,0.8616809213934917,0.5886648697248306
ARHGEF12,-0.22510306151009862,-0.1880165348228213,0.15502960488287063,-0.07063790407949891
CDK5R1,0.12025957131566757,-0.35085407138945995,-0.036613650526641686,-0.27551359083823707
FYN,0.19465527942892774,-0.22720991323744252,-0.46779562781503703,0.2482215314253489
GPX1,-0.107665627666339,-0.2641273999087319,0.022212696107272323,0.05394147607177373
SLC6A4,inf,0,0,inf
MAGED1,-0.12205595842155179,-0.20409421120445068,0.16568056172289208,0.2918773961316571
NR4A2,0.3566981884206794,-0.1955402990239903,0.34910434605401747,0.1660757223749994
TDO2,0,inf,0,0
NR4A1,-0.20644302889204225,-0.13757270075276584,-0.022841861186572474,-0.3989632056061999
NR4A3,-1.2064430288920425,-0.42707931794775095,inf,0.6733126953681157
TG,-0.22720158905883978,-0.6148944782859522,0.4968442350368385,0.67612771097517
CADPS,inf,inf,inf,inf
CADM4,-0.340503951626736,0.04884042347811571,-0.21543426968621962,-0.279961367987244
HTR2A,0,0,inf,0
HTR2B,inf,0,0,1.4282001975315843
HTR2C,,,,
P2RX7,-1.7589840519208213,-0.23068210514424742,1.0136840148385415,0.16516579169779055
SLC2A4,-0.584954652145772,-0.33021777869516156,-3.893206580769977,-0.470870893617635
STXBP5,-0.13370741468484285,-0.16082543187986711,-0.2884387246654161,-0.11984092690778403
STXBP1,-0.2628108432865831,-0.2526811782241412,-0.5285531868847798,-0.14698128239698655
STXBP2,-0.140969191414761,-0.4311720725816338,-0.09006390999928743,-0.17596651408672356
STXBP4,0.27767878232228654,-0.4086616843180178,0.048449432999218396,-0.14686384212333406
HTR1A,,,,
HTR1B,,,,
HTR1D,0.7570310950828437,-0.10812892286028378,0.42872151411738546,0
HTR6,,,,
HTR7,-0.23028977084640986,0.1983622521284759,-0.20870840649790615,0.7818371521462849
TIPRL,-0.023730591908757592,-0.15809502462611125,0.06628569512464892,-0.0910796477344563
